t_zcr_mean,t_zcr_median,t_zcr_std,t_zcr_stdbymean,t_zcr_max,t_zcr_min,t_energy_mean,t_energy_median,t_energy_std,t_energy_stdbymean,t_energy_max,t_energy_min,t_entropy_mean,t_entropy_median,t_entropy_std,t_entropy_stdbymean,t_entropy_max,t_entropy_min,f_centroid_mean,f_centroid_median,f_centroid_std,f_centroid_stdbymean,f_centroid_max,f_centroid_min,f_spread_mean,f_spread_median,f_spread_std,f_spread_stdbymean,f_spread_max,f_spread_min,f_entropy_mean,f_entropy_median,f_entropy_std,f_entropy_stdbymean,f_entropy_max,f_entropy_min,f_flux_mean,f_flux_median,f_flux_std,f_flux_stdbymean,f_flux_max,f_flux_min,f_rolloff_mean,f_rolloff_median,f_rolloff_std,f_rolloff_stdbymean,f_rolloff_max,f_rolloff_min,f_mfcc1_mean,f_mfcc1_median,f_mfcc1_std,f_mfcc1_stdbymean,f_mfcc1_max,f_mfcc1_min,f_mfcc2_mean,f_mfcc2_median,f_mfcc2_std,f_mfcc2_stdbymean,f_mfcc2_max,f_mfcc2_min,f_mfcc3_mean,f_mfcc3_median,f_mfcc3_std,f_mfcc3_stdbymean,f_mfcc3_max,f_mfcc3_min,f_mfcc4_mean,f_mfcc4_median,f_mfcc4_std,f_mfcc4_stdbymean,f_mfcc4_max,f_mfcc4_min,f_mfcc5_mean,f_mfcc5_median,f_mfcc5_std,f_mfcc5_stdbymean,f_mfcc5_max,f_mfcc5_min,f_mfcc6_mean,f_mfcc6_median,f_mfcc6_std,f_mfcc6_stdbymean,f_mfcc6_max,f_mfcc6_min,f_mfcc7_mean,f_mfcc7_median,f_mfcc7_std,f_mfcc7_stdbymean,f_mfcc7_max,f_mfcc7_min,f_mfcc8_mean,f_mfcc8_median,f_mfcc8_std,f_mfcc8_stdbymean,f_mfcc8_max,f_mfcc8_min,f_mfcc9_mean,f_mfcc9_median,f_mfcc9_std,f_mfcc9_stdbymean,f_mfcc9_max,f_mfcc9_min,f_mfcc10_mean,f_mfcc10_median,f_mfcc10_std,f_mfcc10_stdbymean,f_mfcc10_max,f_mfcc10_min,f_mfcc11_mean,f_mfcc11_median,f_mfcc11_std,f_mfcc11_stdbymean,f_mfcc11_max,f_mfcc11_min,f_mfcc12_mean,f_mfcc12_median,f_mfcc12_std,f_mfcc12_stdbymean,f_mfcc12_max,f_mfcc12_min,f_mfcc13_mean,f_mfcc13_median,f_mfcc13_std,f_mfcc13_stdbymean,f_mfcc13_max,f_mfcc13_min,f_hratio_mean,f_hratio_median,f_hratio_std,f_hratio_stdbymean,f_hratio_max,f_hratio_min,f_fundamental_mean,f_fundamental_median,f_fundamental_std,f_fundamental_stdbymean,f_fundamental_max,f_fundamental_min,f_chrvec1_mean,f_chrvec1_median,f_chrvec1_std,f_chrvec1_stdbymean,f_chrvec1_max,f_chrvec1_min,f_chrvec2_mean,f_chrvec2_median,f_chrvec2_std,f_chrvec2_stdbymean,f_chrvec2_max,f_chrvec2_min,f_chrvec3_mean,f_chrvec3_median,f_chrvec3_std,f_chrvec3_stdbymean,f_chrvec3_max,f_chrvec3_min,f_chrvec4_mean,f_chrvec4_median,f_chrvec4_std,f_chrvec4_stdbymean,f_chrvec4_max,f_chrvec4_min,f_chrvec5_mean,f_chrvec5_median,f_chrvec5_std,f_chrvec5_stdbymean,f_chrvec5_max,f_chrvec5_min,f_chrvec6_mean,f_chrvec6_median,f_chrvec6_std,f_chrvec6_stdbymean,f_chrvec6_max,f_chrvec6_min,f_chrvec7_mean,f_chrvec7_median,f_chrvec7_std,f_chrvec7_stdbymean,f_chrvec7_max,f_chrvec7_min,f_chrvec8_mean,f_chrvec8_median,f_chrvec8_std,f_chrvec8_stdbymean,f_chrvec8_max,f_chrvec8_min,f_chrvec9_mean,f_chrvec9_median,f_chrvec9_std,f_chrvec9_stdbymean,f_chrvec9_max,f_chrvec9_min,f_chrvec10_mean,f_chrvec10_median,f_chrvec10_std,f_chrvec10_stdbymean,f_chrvec10_max,f_chrvec10_min,f_chrvec11_mean,f_chrvec11_median,f_chrvec11_std,f_chrvec11_stdbymean,f_chrvec11_max,f_chrvec11_min,f_chrvec12_mean,f_chrvec12_median,f_chrvec12_std,f_chrvec12_stdbymean,f_chrvec12_max,f_chrvec12_min,f_persistence_mean,f_persistence_median,f_persistence_std,f_persistence_stdbymean,f_persistence_max,f_persistence_min,label
0.047869,0.0059754,1.5104,0.14549,0.14635,0.90982,0.0052724,0.14386,-30.571,-8.2801,-4.1043,0.2506,2.279,2.6297,1.0783,-0.50002,-0.75904,0.20728,1.3351,1.6492,1.1295,0.23922,372.5,4.3505,1.194,4.0594,0,0.72212,2.608,0,4.2916,3.595,0.83796,4.6275,0,134.74,0.04858,0.0037658,1.7658,0.15427,0.15423,0.97476,0.0047817,0.15966,-32.34,-8.8406,-4.3662,0.28849,2.4672,2.8366,1.1567,-0.48496,-0.80132,0.20863,1.3973,1.7449,1.1847,0.18365,306.46,5.0236,0,3.3759,0,0,0.65415,0,2.0336,2.6906,0,4.734,0,146.12,0.017418,0.0078675,0.5556,0.0461,0.042261,0.30373,0.0024876,0.051529,7.4957,1.9918,1.0179,0.22652,0.66134,0.63669,0.36536,0.20999,0.32348,0.23291,0.36357,0.46519,0.33486,0.24006,298.69,4.1057,2.4462,4.5289,0,1.7012,3.9339,0,5.2633,3.6584,2.126,3.0496,0,31.532,0.37681,1.0862,0.33374,0.23789,0.22156,0.23757,0.3776,0.24196,-0.18819,-0.18599,-0.19006,0.81254,0.21586,0.19116,0.25872,-0.32999,-0.31918,0.8824,0.21377,0.21625,0.2274,0.7368,0.65809,0.73151,1.7684,0.90071,0,1.8607,1.3054,0,0.94412,0.8175,2.1176,0.51642,0,0.18697,0.070739,0.025307,2.032,0.19094,0.18059,1.2136,0.0093695,0.20227,-10.281,-2.7996,-1.3381,0.63717,2.8468,3.0372,1.5632,-0.14316,-0.025179,0.65379,1.6567,2.079,1.5223,0.87239,947.93,10.247,6.7722,12.056,0,4.8187,10.549,0,14.72,9.3555,6.2404,9.3034,0,155.72,0.016761,7.8164e-06,0.55594,0.036915,0.04209,0.20732,0.0011834,0.028409,-35.508,-9.4337,-4.7547,-0.079145,0.5642,0.94564,0.28833,-0.86617,-1.1534,-0.14295,0.39444,0.489,0.33608,0.050079,68.323,0,0,0,0,0,0,0,0,0,0,0,0,49.4,1
0.053551,0.0048882,1.6245,0.14694,0.14312,0.96656,0.0051423,0.15898,-30.124,-8.3968,-4.1412,0.26298,2.2692,2.6658,1.1386,-0.62934,-0.76893,0.29755,1.2895,1.6288,1.2349,0.16626,473.28,3.3593,1.3777,3.0902,0,0.77591,3.5975,0,3.6771,4.4882,1.089,4.6125,1.0301,135.27,0.06108,0.0027577,1.8704,0.14817,0.14435,0.94619,0.0046338,0.15227,-31.176,-8.9921,-4.4547,0.23326,2.3952,2.8114,1.1527,-0.62748,-0.82254,0.3061,1.4126,1.7319,1.2714,0.17189,348.03,2.7597,0,1.5765,0,0,1.2219,0,0,2.1439,0,4.591,0,146.93,0.02452,0.0065462,0.61253,0.064417,0.049812,0.53881,0.0027835,0.10575,9.7601,2.6152,1.3467,0.2561,0.90612,0.95465,0.48651,0.36323,0.42271,0.27991,0.48167,0.57727,0.47596,0.091993,429.7,3.3957,3.196,3.6378,0,1.4303,4.8017,0,5.3527,5.4151,2.8777,3.3851,2.1717,39.249,1.1586,1.6934,1.0688,1.0412,1.0234,1.0908,1.1598,1.1099,-0.98456,-0.98376,-0.99511,1.4994,1.0245,1.0086,1.0681,-1.1478,-1.1503,1.4651,1.0347,1.0157,1.032,0.47073,0.72498,0.80364,1.7562,1.6639,0,1.6657,1.0086,0,1.0919,1.6945,2.9092,1.3343,1.0542,0.987,0.086932,0.019579,2.4471,0.27966,0.23762,2.1291,0.010217,0.38864,-20.912,-5.6388,-2.6362,0.72323,3.7351,4.2885,2.0138,-0.21391,-0.28664,0.71618,1.9395,2.564,2.1214,0.31493,1430,8.2401,9.5488,9.4718,0,3.7677,11.924,0,14.251,13.342,8.5951,10.908,5.1842,189.31,0.022727,2.8871e-05,0.88143,0.086157,0.092863,0.43895,0.0021895,0.065909,-47.767,-12.285,-6.1906,-0.030966,1.2192,1.6127,0.61119,-1.329,-1.45,-0.15312,0.66651,0.98598,0.69499,0.049412,65.476,0,0,0,0,0,0,0,0,0,0,0,0,88.878,1
0.04,0.0075166,1.4857,0.087087,0.10073,0.41488,0.0072659,0.0675,-23.242,-6.7864,-3.6679,0.43515,1.9754,2.0928,1.0101,-0.38806,-0.79588,0.29015,1.0584,1.3475,1.0836,0.37886,395.2,1.9501,0.80513,4.122,0,0.96208,4.3743,0,11.252,1.4541,0,6.4793,1.098,118.63,0.032102,0.0025399,1.2978,0.07282,0.088966,0.2939,0.0054893,0.052273,-20.519,-5.8327,-3.2058,0.3756,1.7408,1.8291,0.85125,-0.35493,-0.6788,0.28669,0.91857,1.1896,0.90103,0.16855,293.7,1.0015,0,2.3359,0,0,2.4229,0,10.822,0.29972,0,5.4169,1.39,104.27,0.018411,0.0090392,0.37888,0.038013,0.03171,0.32537,0.0048671,0.04464,5.0586,1.776,1.044,0.33824,0.7923,0.64269,0.44452,0.22006,0.35907,0.23175,0.31881,0.42759,0.41707,0.60966,292.18,2.712,1.3929,4.8702,0,2.042,5.5672,0,6.9229,2.6023,0,3.8796,1.0309,26.781,0.51315,0.95416,0.43316,0.51552,0.46198,0.70363,0.68695,0.62911,-0.41802,-0.42347,-0.44117,0.73069,0.48893,0.45143,0.5244,-0.66064,-0.54179,0.8276,0.46588,0.47486,0.49123,0.94565,0.79924,1.288,0.86405,0.98143,0,1.0608,1.121,0,0.79175,1.106,0,0.63774,0.23473,0.41612,0.075,0.024243,2.0877,0.15951,0.15091,1.083,0.016814,0.16023,-19.393,-5.2928,-2.7442,1.0754,3.1167,3.0858,1.6769,-0.10774,-0.40771,0.71155,1.5647,2.0949,1.7829,2.0051,924.78,7.647,3.5793,14.681,0,5.308,14.548,0,23.719,7.5505,0,12.492,2.5171,159.57,0.023295,0.0015311,1.1535,0.050468,0.069515,0.13204,0.0028923,0.029545,-30.879,-9.4627,-5.3354,0.048831,1.0956,1.522,0.52212,-0.77446,-1.3851,-0.038385,0.7611,0.94452,0.67215,0.084697,88.78,0,0,0,0,0,0,0,1.6896,0,0,2.1297,0,98.378,1
0.04108,0.01057,1.7121,0.12932,0.14035,0.68629,0.0074756,0.11477,-30.336,-8.4624,-4.5005,0.45933,2.6244,2.6024,1.1964,-0.53956,-0.87707,0.22752,1.2441,1.7782,1.3021,0.28892,444.18,3.3827,1.6888,3.9871,0,0.89798,5.9278,0,7.8837,1.8779,0.55152,7.7471,0.53699,146.08,0.03679,0.0039168,1.4031,0.094633,0.1122,0.41464,0.0057175,0.069318,-25.309,-7.3008,-3.8866,0.34053,2.2542,2.2292,0.99494,-0.44312,-0.68256,0.15024,0.98957,1.5473,1.0488,0.19273,314.66,2.007,0.24669,2.5765,0,0,4.9039,0,6.0892,0,0,6.3143,0,126.54,0.020655,0.014181,0.71595,0.078532,0.070845,0.58085,0.0052964,0.091661,12.048,3.2888,1.8105,0.35174,1.1021,1.0704,0.55201,0.31949,0.44668,0.27833,0.58159,0.74618,0.62677,0.29848,354.87,4.3733,2.7581,4.5007,0,2.4865,6.3153,0,9.0845,4.7754,1.2143,4.7725,1.3782,51.958,0.75663,1.4819,0.65424,0.70155,0.67978,0.84645,0.93188,0.75891,-0.60683,-0.60342,-0.62807,1.1404,0.63825,0.63563,0.67959,-0.81065,-0.74932,1.3834,0.67129,0.64313,0.67688,0.70095,0.71803,1.6346,1.2767,1.3205,0,2.9563,1.7872,0,1.6999,2.6648,1.2055,0.97112,2.6352,0.59783,0.075,0.039007,2.6562,0.23781,0.22984,1.5255,0.016642,0.25341,-19.583,-5.4973,-2.7108,1.1989,4.0201,4.1483,1.9884,-0.18013,-0.39678,0.75247,2.019,2.7896,2.2186,1.052,1042.3,12.225,7.235,12.422,0,7.7565,17.302,0,23.897,14.099,3.5106,16.233,3.8524,206.14,0.01733,0.00026028,0.97283,0.050852,0.068243,0.10584,0.0018978,0.031818,-44.215,-12.181,-6.554,0.088777,1.5394,1.5836,0.5952,-1.0682,-1.5786,-0.10461,0.68046,1.0601,0.67904,0.094698,97.971,0,0,0,0,0,0,0,0,0,0,2.5871,0,100.02,1
0.040909,0.012872,1.8787,0.13533,0.15745,0.53158,0.010323,0.098977,-34.642,-9.3728,-5.3853,0.74925,2.7256,2.9792,1.3812,-0.63229,-0.94939,0.2887,1.4964,2.0331,1.4096,0.26041,537.61,2.8949,1.7852,3.3726,0,1.3347,8.4598,0,9.7993,3.5944,0.33198,8.4662,1.5532,168.44,0.036932,0.0048325,1.793,0.12302,0.14499,0.44964,0.0068932,0.084659,-31.667,-8.5378,-4.9042,0.66696,2.4246,2.7123,1.1945,-0.58893,-0.85623,0.26208,1.3579,1.8887,1.2421,0.23822,389.07,0.48685,0,1.7977,0,0,8.2459,0,9.099,1.4822,0,8.9065,0,153.11,0.018212,0.017757,0.50909,0.042931,0.041129,0.32507,0.0084052,0.04931,6.3097,1.7221,1.0621,0.40334,0.75409,0.72156,0.47471,0.29593,0.35261,0.23951,0.42554,0.48099,0.41394,0.16209,467.24,4.0977,2.7769,4.9159,0,2.5028,7.5187,0,8.9089,4.9991,1.0498,5.3999,2.5125,28.061,0.75192,1.3661,0.5529,0.55101,0.51447,0.83724,0.94244,0.67107,-0.44042,-0.43719,-0.45541,0.76532,0.50407,0.488,0.57186,-0.71009,-0.58593,1.1614,0.50531,0.48196,0.52329,0.96667,1.1763,1.7734,2.0184,1.707,0,1.6974,1.0812,0,1.5901,1.534,1.5811,0.94569,2.252,0.41958,0.074148,0.049804,2.6566,0.20329,0.2275,1.1751,0.029974,0.20909,-29.745,-7.9932,-4.4986,1.5346,4.0841,4.1946,2.2378,-0.24379,-0.49942,0.75524,2.1937,2.781,2.1329,0.58091,1471.3,10.249,7.5492,14.93,0,6.9737,21.784,0,27.795,12.698,3.3198,17.298,6.1775,210.41,0.024432,0.0011878,1.2583,0.093538,0.12066,0.2327,0.003954,0.056818,-46.392,-12.202,-7.1773,0.26068,1.8872,2.2259,0.89918,-1.1887,-1.5382,-0.045673,1.0722,1.4965,1.0166,0.10788,163.5,0,0,0,0,0,0,0,0,0,0,0,0,147.75,1
0.040881,0.013214,1.8343,0.12845,0.1485,0.51666,0.0080862,0.093636,-32.411,-8.8169,-5.0146,0.65969,2.6286,2.9049,1.2686,-0.76075,-0.93073,0.36624,1.398,1.9468,1.4203,0.26091,506.62,1.9194,2.2228,3.0314,0,0.7264,8.2346,0,12.703,1.7868,0,8.5931,3.0778,159.24,0.042756,0.0094023,1.8336,0.11832,0.13933,0.46833,0.0073923,0.082386,-30.892,-8.6218,-4.8312,0.67338,2.5131,2.87,1.2185,-0.72393,-0.85792,0.33206,1.3849,1.9316,1.3936,0.26467,496.45,0,1.4074,0.496,0,0,9.1295,0,14.503,0,0,8.4864,2.2678,154.32,0.0080935,0.011575,0.19585,0.04182,0.039119,0.29913,0.004027,0.042648,5.4667,1.0052,0.78819,0.27693,0.52304,0.46588,0.38608,0.26266,0.28753,0.25056,0.29093,0.35889,0.28882,0.11068,293.75,2.939,2.4757,4.7016,0,1.5411,5.472,0,8.1216,3.5732,0,4.8838,2.8498,18.995,0.95104,1.5224,0.87169,0.96353,0.90375,1.205,1.0624,1.0419,-0.81928,-0.81722,-0.84092,1.1062,0.85701,0.85931,0.95148,-1.0008,-0.96806,1.254,0.89139,0.85911,0.89127,0.34101,0.48238,1.174,1.008,1.1894,0,1.0608,0.50351,0,0.51764,1.7621,0,1.1632,0.74248,0.8076,0.051705,0.030866,2.1124,0.22291,0.23849,1.139,0.016165,0.18409,-29.289,-8.1185,-4.3921,1.1118,3.9046,3.8511,1.9745,-0.41783,-0.6206,0.80642,2.0019,2.7135,1.9657,0.43655,1079.3,6.9217,7.0581,12.673,0,3.995,16.526,0,23.814,10.083,0,17.437,6.8342,207.71,0.027273,0.0021358,1.4734,0.088418,0.11329,0.22248,0.0040979,0.055682,-46.486,-11.237,-6.7728,0.19979,2.241,2.3041,0.86046,-1.2339,-1.5009,0.058725,1.048,1.5901,1.0685,0.091844,197.62,0,0,0,0,0,0,0,0,0,0,1.588,0,147.65,1
0.036932,0.013428,1.5874,0.14832,0.1572,0.72427,0.0077784,0.13068,-33.363,-8.9023,-4.8137,0.59603,2.5493,2.8157,1.3061,-0.59944,-0.8645,0.26466,1.307,1.9207,1.3465,0.61294,616.69,2.468,1.1686,3.6172,0,0.89687,5.1789,0,7.8466,4.0907,0.38232,8.6976,1.962,148.57,0.040057,0.0090139,1.7643,0.12168,0.13962,0.51765,0.0079722,0.090341,-30.996,-8.7379,-4.715,0.60704,2.4658,2.6712,1.2684,-0.57923,-0.83483,0.22768,1.307,1.9176,1.2925,0.26712,636.76,2.6178,0,1.6121,0,0.0625,3.7523,0,3.9681,0,0,8.5689,0,154.2,0.015314,0.012905,0.50815,0.081931,0.061541,0.61431,0.003954,0.11892,11.576,2.8481,1.5764,0.34893,0.90036,0.95084,0.52204,0.31432,0.4144,0.30266,0.55463,0.68234,0.53395,1.2425,424.59,2.4937,1.9972,4.3644,0,1.5321,6.072,0,9.1738,6.3095,1.209,4.9145,3.1579,55.683,0.72338,1.513,0.83425,0.7002,0.61396,0.92521,0.87845,0.86852,-0.5627,-0.55806,-0.57588,0.80435,0.58279,0.58101,0.65003,-0.73293,-0.7093,1.3947,0.63781,0.58896,0.62677,0.87517,0.52578,0.8842,1.4128,0.91776,0,1.138,0.91943,0,0.90792,1.1641,1.5811,0.8672,1.3422,0.63252,0.055966,0.033185,2.0036,0.30379,0.24372,2.0373,0.01429,0.40909,-20.513,-5.2008,-2.7037,1.0693,3.6534,4.1039,1.9811,-0.17565,-0.34922,0.79009,2.0127,2.6931,2.0582,4.0504,1100,6.3976,5.301,11.025,0,4.5295,15.654,0,23.125,16.644,3.8232,16.814,7.816,197.14,0.01108,3.0505e-05,0.55056,0.067779,0.090104,0.15122,0.0027096,0.0375,-47.888,-11.933,-6.7167,0.099941,1.4026,1.5962,0.59694,-1.0144,-1.5838,-0.11286,0.59184,0.99627,0.64107,0.037213,68.75,0,0,0,0,0,0,0,0,0,0,2.6602,0,49.626,1
0.03858,0.0092502,1.6642,0.12592,0.14109,0.54127,0.0068501,0.093864,-29.515,-8.0759,-4.4214,0.56971,2.3224,2.6062,1.1063,-0.6571,-0.83431,0.27313,1.258,1.7456,1.2094,0.33545,477.45,2.7882,1.9825,3.0614,0,0.37305,6.4695,0,8.7491,2.6775,0.87069,8.5344,0,142.26,0.039915,0.0061986,1.7696,0.12915,0.14786,0.52274,0.0067963,0.088636,-31.366,-8.6411,-4.7398,0.59362,2.449,2.756,1.1171,-0.6662,-0.81545,0.28129,1.3202,1.8771,1.2922,0.27737,434.98,1.994,0.70876,0.79845,0,0,6.5653,0,9.5857,0,0,8.1703,0,154.19,0.012097,0.0087647,0.45646,0.043407,0.042227,0.27185,0.0030874,0.044919,7.1406,1.925,1.1168,0.29013,0.66763,0.70517,0.4045,0.26006,0.33792,0.21263,0.3862,0.47618,0.37059,0.36537,357.59,3.3924,2.7918,4.0177,0,0.98949,6.3527,0,7.7111,4.2458,2.7533,4.7289,0,32.836,0.28892,0.84324,0.21437,0.26152,0.22938,0.36945,0.34947,0.32284,-0.18677,-0.18265,-0.19259,0.40404,0.21811,0.20939,0.27663,-0.3059,-0.30872,0.74794,0.2359,0.20956,0.23324,0.68591,0.58987,1.0683,1.1682,0.9854,0,1.4077,0.73716,0,0.75233,0.81902,2.3717,0.42655,0,0.18096,0.05483,0.026301,2.0121,0.17498,0.17425,1.055,0.012213,0.17045,-9.9082,-2.7068,-1.4008,0.9539,3.0058,3.2306,1.6703,-0.15998,-0.22167,0.58385,1.6686,2.0871,1.5583,1.2569,884.02,9.1832,7.1012,10.527,0,3.1066,16.906,0,20.457,11.244,8.7069,16.558,0,156.62,0.014489,1.9358e-05,0.4676,0.026496,0.035461,0.078162,0.0016343,0.018182,-33.447,-9.0657,-5.3567,0.016704,0.65991,0.82178,0.25477,-1.0568,-1.3148,-0.060599,0.34871,0.49648,0.31515,0.023223,0,0,0,0,0,0,0,0,0,0,0,1.5311,0,50.445,1
0.039062,0.0097682,1.7393,0.14049,0.15553,0.61838,0.0082865,0.10614,-33.04,-9.0443,-4.8231,0.63037,2.4398,2.8697,1.2513,-0.70623,-0.98685,0.30346,1.3332,1.9321,1.331,0.28756,621.35,2.3455,1.4069,3.3637,0,0.79675,5.3756,0,10.386,4.1193,0,8.2761,1.4485,155.99,0.042045,0.0046472,1.8854,0.1162,0.13744,0.4214,0.0072816,0.072159,-30.507,-8.856,-4.7379,0.58171,2.3613,2.7995,1.1037,-0.69422,-0.88248,0.33611,1.2761,1.8595,1.2488,0.28167,607.24,1.2729,0,2.2768,0,0,4.7702,0,10.092,0,0,8.1156,0,154.89,0.017046,0.011866,0.63759,0.069594,0.064317,0.48446,0.0051387,0.080111,12.002,3.1149,1.7486,0.36803,1.0962,1.0703,0.60783,0.39211,0.48906,0.2487,0.55365,0.79035,0.59156,0.18239,488.89,3.3975,2.5276,4.1673,0,1.8471,5.1538,0,9.6705,6.9863,0,5.5195,3.3208,49.668,0.80159,1.3811,0.75868,0.58607,0.56258,0.72944,0.79908,0.70458,-0.51803,-0.5115,-0.53731,0.77838,0.57911,0.53795,0.65354,-0.70429,-0.65678,1.1243,0.57767,0.56422,0.60668,1.2275,1.3776,1.856,1.5535,1.319,0,2.0089,0.7365,0,1.209,2.0533,0,0.90773,1.8503,0.51174,0.06108,0.034471,2.6291,0.23926,0.23265,1.4672,0.01839,0.25795,-20.23,-5.4802,-2.6896,1.1496,3.681,4.052,2.2828,-0.14486,-0.40871,0.68347,1.9762,3.0246,2.1608,0.61328,1376.2,9.797,7.1282,11.467,0,5.4452,13.199,0,24.57,19.194,0,17.215,9.3098,208,0.014489,0.00013507,0.90361,0.070096,0.087038,0.15191,0.0030639,0.0375,-46.392,-12.059,-6.6317,0.086937,0.99064,1.5844,0.5748,-1.2519,-1.7914,-0.046241,0.64127,0.98802,0.63593,0.060325,42.636,0,0,0,0,0,0,0,0,0,0,0.76089,0,97.83,1
0.039858,0.013361,1.7256,0.15019,0.1675,0.70194,0.0071749,0.11568,-35.13,-9.4964,-5.1992,0.63383,2.6512,2.9675,1.3726,-0.68978,-1.0489,0.28858,1.5041,2.0734,1.3904,0.22382,523.22,2.5193,1.4203,4.1685,0,1.4749,6.3353,0,8.8515,3.8182,0.36132,6.9441,2.6539,163.15,0.033239,0.0051948,1.6307,0.13577,0.15211,0.5825,0.0058563,0.096591,-32.244,-8.5537,-4.6887,0.50936,2.3826,2.6589,1.2119,-0.59737,-0.92836,0.23299,1.3455,1.8559,1.2806,0.16505,306.16,1.596,0,3.2014,0,0,5.78,0,8.7492,0.92354,0,6.473,3.2259,150.66,0.019072,0.019326,0.60699,0.049026,0.042572,0.38467,0.0046418,0.055488,6.0841,1.7709,1.0817,0.37832,0.75444,0.6549,0.53913,0.33418,0.39283,0.19089,0.4384,0.49934,0.37094,0.15076,533.33,2.9333,2.3037,4.8641,0,3.1433,6.3651,0,10.035,5.7665,1.1426,5.5224,1.9186,33.579,0.81867,1.5159,0.68436,0.54888,0.50573,0.73793,0.80889,0.63614,-0.4371,-0.43113,-0.44924,0.7635,0.48934,0.46148,0.5802,-0.66033,-0.61638,0.97269,0.51043,0.47813,0.49867,1.1714,1.4602,1.1188,1.5073,1.5305,0,2.2712,1.5355,0,1.2706,1.9171,1.5811,0.93785,0.36147,0.45187,0.07358,0.054032,2.6613,0.23865,0.2458,1.3955,0.016433,0.21818,-30.247,-8.1761,-4.2971,1.3013,3.8418,4.1198,2.2904,-0.31709,-0.6026,0.66107,2.2102,2.9512,1.918,0.54664,1613.5,8.1406,6.0944,12.029,0,8.2564,18.978,0,26.147,15.05,3.6132,17.24,4.5052,209.39,0.023011,0.00076723,1.0972,0.097698,0.12748,0.23895,0.0021912,0.052273,-45.593,-12.397,-6.847,0.18518,1.9618,2.3719,0.7891,-1.2967,-1.6956,0.096667,0.99426,1.6164,0.9907,0.10222,80.051,0,0,0,0,0,0,0,0,0,0,0.37079,0,127.98,1
